Date,Team,Acquired,Relinquished,Notes
13/11/2019,Pelicans,,Josh Hart,sprained left knee (DTD)
13/11/2019,Pistons,,Khyri Thomas,surgery on right foot to repair stress reaction (out indefinitely)
13/11/2019,Warriors,Omari Spellman,,returned to lineup
14/11/2019,Clippers,,Patrick Beverley,left calf injury (DTD)
14/11/2019,Hawks,Allen Crabbe,,returned to lineup
14/11/2019,Heat,Tyler Herro,,returned to lineup
14/11/2019,Kings,,Caleb Swanigan,sprained left ankle (DTD)
14/11/2019,Nuggets,Malik Beasley,,returned to lineup
14/11/2019,Pelicans,,Jahlil Okafor,sprained left ankle (DTD)
14/11/2019,Rockets,,Clint Capela,concussion (DTD)
15/11/2019,Celtics,Robert Williams III,,returned to lineup
15/11/2019,Thunder,,Hamidou Diallo,sprained left knee (DTD)
15/11/2019,Timberwolves,Jordan Bell,,returned to lineup
15/11/2019,Jazz,,Dante Exum,right knee injury (DTD)
16/11/2019,Heat,,Goran Dragic,illness (DTD)
16/11/2019,Nets,,Kyrie Irving,right shoulder injury (out indefinitely)
16/11/2019,Pelicans,,J.J. Redick,toe injury (DTD)
16/11/2019,Timberwolves,,Josh Okogie,sore left knee (DTD)
16/11/2019,Warriors,,D'Angelo Russell,sprained right thumb (DTD)
17/11/2019,Bulls,,Luke Kornet,sinusitis (DTD)
17/11/2019,Pelicans,,Frank Jackson,neck injury (DTD)
17/11/2019,Pelicans,J.J. Redick,,returned to lineup
17/11/2019,Wizards,,Jordan McRae,flu (DTD)
17/11/2019,Pelicans,,Jahlil Okafor,sprained left ankle (DTD)
18/11/2019,Jazz,Dante Exum,,returned to lineup
18/11/2019,Suns,,Ricky Rubio,back spasms (DTD)
18/11/2019,Timberwolves,Josh Okogie,,returned to lineup
19/11/2019,Blazers,,Damian Lillard,back spasms (DTD)
19/11/2019,Magic,,Michael Carter-Williams,hip injury (DTD)
19/11/2019,Pelicans,Brandon Ingram,,returned to lineup
19/11/2019,Pelicans,Frank Jackson,,returned to lineup
19/11/2019,Pistons,,Tony Snell,strained left hip (DTD)
19/11/2019,Spurs,,Derrick White,sore left foot (DTD)
19/11/2019,Suns,,Aron Baynes,bruised right hip / right hip flexor injury (DTD)
19/11/2019,Suns,Ricky Rubio,,returned to lineup
20/11/2019,Heat,Goran Dragic,,returned to lineup
20/11/2019,Timberwolves,Andrew Wiggins,,activated from IL
20/11/2019,Warriors,,Draymond Green,right heel injury (DTD)
20/11/2019,Wizards,Jordan McRae,,returned to lineup
21/11/2019,Magic,,Aaron Gordon,bruised right ankle (out indefinitely)
21/11/2019,Magic,,Nikola Vucevic,sprained right ankle (out indefinitely)
21/11/2019,Suns,,Ricky Rubio,back spasms (DTD)
22/11/2019,Kings,,Bogdan Bogdanovic,left hamstring injury (DTD)
22/11/2019,Raptors,,Dewan Hernandez,sprained right thumb (DTD)
22/11/2019,Thunder,,Nerlens Noel,illness (DTD)
22/11/2019,Thunder,Hamidou Diallo,,returned to lineup
23/11/2019,Cavaliers,,Kevin Love,bruised lower back (DTD)
23/11/2019,Jazz,,Rudy Gobert,sprained left ankle (DTD)
23/11/2019,Lakers,,Alex Caruso,strained right calf (DTD)
23/11/2019,Timberwolves,,Josh Okogie,sore left knee (DTD)
23/11/2019,Timberwolves,,Treveon Graham,bruised forearm (DTD)
24/11/2019,Celtics,,Kemba Walker,sprained neck (DTD)
24/11/2019,Kings,Bogdan Bogdanovic,,returned to lineup
24/11/2019,Knicks,,R.J. Barrett,illness (DTD)
24/11/2019,Nuggets,,Bol Bol,left foot injury (DTD)
24/11/2019,Pelicans,Jahlil Okafor,,returned to lineup
24/11/2019,Thunder,,Hamidou Diallo,sprained right elbow (out indefinitely)
25/11/2019,Celtics,,Romeo Langford,sprained right ankle (DTD)
25/11/2019,Heat,,James Johnson,illness (DTD)
25/11/2019,Heat,,Udonis Haslem,illness (DTD)
25/11/2019,Jazz,,Nigel Williams-Goss,toe injury (DTD)
25/11/2019,Lakers,Alex Caruso,,returned to lineup
25/11/2019,Thunder,Nerlens Noel,,returned to lineup
25/11/2019,Timberwolves,Josh Okogie,,returned to lineup
25/11/2019,Timberwolves,Treveon Graham,,returned to lineup
27/11/2019,76ers,,Shake Milton,illness (DTD)
27/11/2019,Cavaliers,Kevin Love,,returned to lineup
27/11/2019,Grizzlies,,Kyle Anderson,right heel injury (DTD)
27/11/2019,Heat,,Jimmy Butler,illness (DTD)
27/11/2019,Heat,James Johnson,,returned to lineup
27/11/2019,Heat,Udonis Haslem,,returned to lineup
27/11/2019,Knicks,R.J. Barrett,,returned to lineup
27/11/2019,Pelicans,,Lonzo Ball,stomach virus (DTD)
27/11/2019,Pelicans,Josh Hart,,returned to lineup
27/11/2019,Pistons,Tony Snell,,returned to lineup
27/11/2019,Suns,Ricky Rubio,,returned to lineup
27/11/2019,Warriors,Draymond Green,,returned to lineup
27/11/2019,Warriors,Alen Smailagic,,returned to lineup
28/11/2019,Bucks,,Kyle Korver,sore right elbow (DTD)
28/11/2019,Bucks,,Sterling Brown,sprained right shoulder (DTD)
28/11/2019,Clippers,,Rodney McGruder,strained right hamstring (DTD)
28/11/2019,76ers,Shake Milton,,returned to lineup
29/11/2019,Grizzlies,Kyle Anderson,,returned to lineup
29/11/2019,Heat,Jimmy Butler,,returned to lineup
29/11/2019,Suns,Aron Baynes,,returned to lineup
30/11/2019,Grizzlies,,Ja Morant,back spasms (out indefinitely)
30/11/2019,Grizzlies,,Kyle Anderson,right heel injury (DTD)
30/11/2019,Spurs,,LaMarcus Aldridge,right thigh injury (DTD)
01/12/2019,Knicks,,Marcus Morris,neck spasms (DTD)
01/12/2019,Pelicans,,Kenrich Williams,sprained left ankle (DTD)
01/12/2019,Pelicans,Lonzo Ball,,returned to lineup
01/12/2019,Suns,,Cheick Diallo,illness (DTD)
01/12/2019,Wizards,,Moe Wagner,sprained left ankle (DTD)
02/12/2019,Grizzlies,,Brandon Clarke,sore left hip (DTD)
02/12/2019,Heat,,Goran Dragic,strained right groin (DTD)
02/12/2019,Hornets,,Michael Kidd-Gilchrist,strained left calf (DTD)
02/12/2019,Knicks,,Frank Ntilikina,sore back (DTD)
02/12/2019,Suns,,Aron Baynes,strained left calf (DTD)
02/12/2019,Warriors,,Draymond Green,right heel injury (DTD)
03/12/2019,Clippers,,JaMychal Green,tailbone injury (DTD)
03/12/2019,Grizzlies,,Brandon Clarke,left oblique injury (DTD)
03/12/2019,Hawks,,Allen Crabbe,placed on IL with right knee injury
03/12/2019,Jazz,,Mike Conley Jr.,left hamstring injury (DTD)
04/12/2019,Celtics,,Marcus Smart,illness (DTD)
04/12/2019,Hornets,Michael Kidd-Gilchrist,,returned to lineup
04/12/2019,Pistons,,Luke Kennard,knee injury (DTD)
04/12/2019,Timberwolves,,Naz Reid,sore right shoulder (DTD)
04/12/2019,Warriors,Draymond Green,,returned to lineup
04/12/2019,Wizards,,C.J. Miles,surgery on left wrist (out indefinitely)
04/12/2019,Nuggets,Bol Bol,,returned to lineup
04/12/2019,Celtics,,Romeo Langford,sprained right ankle (DTD)
04/12/2019,Jazz,,Juwan Morgan,bruised left knee (DTD)
05/12/2019,Knicks,Frank Ntilikina,,returned to lineup
05/12/2019,Pelicans,Kenrich Williams,,returned to lineup
05/12/2019,Pistons,Luke Kennard,,returned to lineup
05/12/2019,Thunder,,Terrance Ferguson,right hip injury (DTD)
05/12/2019,Wizards,,Isaiah Thomas,strained left calf (DTD)
05/12/2019,Wizards,Moe Wagner,,returned to lineup
06/12/2019,76ers,,Joel Embiid,bruised left hip (DTD)
06/12/2019,Celtics,Marcus Smart,,returned to lineup
06/12/2019,Heat,,Justise Winslow,strained lower back (DTD)
06/12/2019,Pistons,,Markieff Morris,neck injury (DTD)
06/12/2019,Spurs,LaMarcus Aldridge,,returned to lineup
06/12/2019,Wizards,,Ian Mahinmi,right Achilles injury (DTD)
07/12/2019,Blazers,,Rodney Hood,torn left Achilles tendon (out for season)
07/12/2019,Jazz,Juwan Morgan,,returned to lineup
07/12/2019,Rockets,,Tyson Chandler,illness (DTD)
07/12/2019,76ers,,Jonah Bolden,right Achilles injury (DTD)
08/12/2019,Bucks,,Dragan Bender,sprained right ankle (DTD)
08/12/2019,Celtics,,Robert Williams III,sore left hip (DTD)
08/12/2019,Clippers,,Patrick Patterson,back spasms (DTD)
08/12/2019,Clippers,JaMychal Green,,returned to lineup
08/12/2019,Pistons,Markieff Morris,,returned to lineup
08/12/2019,76ers,,Zhaire Smith,right leg injury (DTD)
09/12/2019,Clippers,Patrick Patterson,,returned to lineup
09/12/2019,Raptors,,Fred VanVleet,bruised right knee (DTD)
09/12/2019,Rockets,,Austin Rivers,flu (DTD)
09/12/2019,Suns,Aron Baynes,,returned to lineup
10/12/2019,Grizzlies,,Grayson Allen,sore right ankle (DTD)
10/12/2019,Heat,,James Johnson,illness (DTD)
10/12/2019,Nets,,Nicolas Claxton,left hamstring injury (DTD)
11/12/2019,Hornets,,Malik Monk,finger injury (DTD)
11/12/2019,Knicks,,Dennis Smith Jr.,illness (DTD)
12/12/2019,76ers,,Al Horford,sore left knee (DTD)
12/12/2019,Blazers,,Nassir Little,back spasms (DTD)
12/12/2019,Clippers,,Patrick Beverley,concussion (DTD)
12/12/2019,Grizzlies,,Brandon Clarke,left oblique injury (DTD)
12/12/2019,Grizzlies,,Ja Morant,back injury (DTD)
12/12/2019,76ers,Zhaire Smith,,returned to lineup
13/12/2019,Clippers,,Lou Williams,right calf injury (DTD)
13/12/2019,Hornets,Malik Monk,,returned to lineup
13/12/2019,Knicks,Dennis Smith Jr.,,returned to lineup
13/12/2019,Warriors,,Eric Paschall,sore left hip (DTD)
13/12/2019,Wizards,,Moe Wagner,sprained left ankle (DTD)
14/12/2019,Bulls,,Daniel Gafford,right hamstring injury (DTD)
14/12/2019,Grizzlies,,Jae Crowder,sore left ankle (DTD)
14/12/2019,Grizzlies,Brandon Clarke,,returned to lineup
14/12/2019,Hornets,,P.J. Washington,fractured finger (out indefinitely)
14/12/2019,Pistons,,Andre Drummond,left eye injury (DTD)
14/12/2019,Suns,,Devin Booker,right forearm injury (DTD)
15/12/2019,Mavericks,,Luka Doncic,sprained right ankle (DTD)
15/12/2019,Pacers,,Naz Mitrou-Long ,sprained right ankle (DTD)
16/12/2019,Bulls,Daniel Gafford,,returned to lineup
16/12/2019,Grizzlies,Jae Crowder,,returned to lineup
16/12/2019,Pelicans,,J.J. Redick,left groin injury (DTD)
16/12/2019,Pistons,,Blake Griffin,sore left knee (DTD)
16/12/2019,Suns,,Tyler Johnson,illness (DTD)
17/12/2019,Celtics,,Vincent Poirier,fractured finger (out indefinitely)
17/12/2019,Clippers,Lou Williams,,returned to lineup
17/12/2019,Suns,,Cameron Johnson,sore left hip (DTD)
17/12/2019,Wizards,,Rui Hachimura,groin injury (DTD)
18/12/2019,Blazers,,Mario Hezonja,back spasms (DTD)
18/12/2019,Blazers,Nassir Little,,returned to lineup
18/12/2019,Jazz,,Mike Conley Jr.,left hamstring injury (out indefinitely)
18/12/2019,Pelicans,J.J. Redick,,returned to lineup
18/12/2019,Pistons,Andre Drummond,,returned to lineup
18/12/2019,Pistons,Blake Griffin,,returned to lineup
18/12/2019,Timberwolves,,Jarrett Culver,illness (DTD)
18/12/2019,Timberwolves,,Karl-Anthony Towns,sprained left knee (DTD)
19/12/2019,Heat,James Johnson,,returned to lineup
19/12/2019,Pistons,,Christian Wood,left knee injury (DTD)
19/12/2019,Raptors,,Marc Gasol,strained left hamstring (out indefinitely)
19/12/2019,Raptors,,Norman Powell,left shoulder subluxation (out indefinitely)
19/12/2019,Raptors,,Pascal Siakam,groin injury (out indefinitely)
19/12/2019,Suns,,Deandre Ayton,sprained right ankle (DTD)
20/12/2019,Blazers,,Nassir Little,back spasms (DTD)
20/12/2019,Blazers,Mario Hezonja,,returned to lineup
20/12/2019,Nets,,David Nwaba,torn right Achilles tendon (out for season)
20/12/2019,Pacers,,Jeremy Lamb,right groin injury (DTD)
20/12/2019,Suns,Cameron Johnson,,returned to lineup
20/12/2019,Suns,Devin Booker,,returned to lineup
20/12/2019,Timberwolves,Jarrett Culver,,returned to lineup
21/12/2019,Blazers,,Carmelo Anthony,bruised left knee (DTD)
21/12/2019,Blazers,Nassir Little,,returned to lineup
21/12/2019,Pistons,,Derrick Rose,sore left knee (DTD)
22/12/2019,76ers,,Matisse Thybulle,sprained right knee (out indefinitely)
22/12/2019,Magic,,Michael Carter-Williams,sprained left shoulder (DTD)
22/12/2019,Raptors,,Dewan Hernandez,sprained right ankle (DTD)
22/12/2019,Wizards,,Davis Bertans,strained right quadriceps (DTD)
23/12/2019,Blazers,Carmelo Anthony,,returned to lineup
23/12/2019,Bulls,,Max Strus,torn ACL in left knee (out for season)
23/12/2019,Knicks,,Marcus Morris,left Achilles injury (DTD)
23/12/2019,Knicks,,Taj Gibson,illness (DTD)
23/12/2019,Pacers,Jeremy Lamb,,returned to lineup
23/12/2019,Pistons,Derrick Rose,,returned to lineup
23/12/2019,Pistons,,Jordan Bone,sore left knee (DTD)
24/12/2019,Warriors,,Kevon Looney,abdominal injury (DTD)
26/12/2019,Blazers,,Mario Hezonja,sore lower back (DTD)
26/12/2019,Knicks,Marcus Morris,,returned to lineup
26/12/2019,Knicks,Taj Gibson,,returned to lineup
26/12/2019,Bucks,Dragan Bender,,returned to lineup
26/12/2019,Pistons,Jordan Bone,,returned to lineup
27/12/2019,Kings,,De'Aaron Fox,back spasms (DTD)
27/12/2019,Kings,,Marvin Bagley III,left foot injury (DTD)
27/12/2019,Pistons,,Markieff Morris,sprained left foot (DTD)
27/12/2019,Warriors,,Omari Spellman,illness (DTD)
28/12/2019,Kings,,Trevor Ariza,illness (DTD)
28/12/2019,Mavericks,,Isaiah Roby,right foot injury (DTD)
28/12/2019,Thunder,,Dennis Schroder,sore right ankle (DTD)
28/12/2019,Timberwolves,,Andrew Wiggins,illness (DTD)
29/12/2019,Blazers,,Skal Labissiere,left knee injury (out indefinitely)
29/12/2019,Kings,Trevor Ariza,,returned to lineup
29/12/2019,Nuggets,,Gary Harris,bruised left shin (DTD)
29/12/2019,Rockets,,James Harden,sprained toe (DTD)
29/12/2019,Rockets,,Tyson Chandler,shoulder injury (DTD)
30/12/2019,Celtics,,Jaylen Brown,illness (DTD)
30/12/2019,Clippers,,Patrick Beverley,sprained right wrist (DTD)
30/12/2019,Heat,,James Johnson,stomach illness (DTD)
30/12/2019,Pistons,,Blake Griffin,sore left knee (DTD)
30/12/2019,Suns,,Frank Kaminsky,sore right knee (out indefinitely)
30/12/2019,Timberwolves,,Noah Vonleh,bruised gluteus (DTD)
30/12/2019,Timberwolves,,Treveon Graham,illness (DTD)
31/12/2019,Rockets,James Harden,,returned to lineup
31/12/2019,Warriors,,D'Angelo Russell,right shoulder injury (DTD)
01/01/2020,Heat,James Johnson,,returned to lineup
01/01/2020,Timberwolves,,Jeff Teague,sprained right knee (DTD)
02/01/2020,Magic,,Jonathan Isaac,left knee injury (out for season)
03/01/2020,Blazers,Mario Hezonja,,returned to lineup
03/01/2020,Cavaliers,,Larry Nance Jr.,sore left knee (out indefinitely)
03/01/2020,Heat,,Dion Waiters,illness (DTD)
03/01/2020,Wizards,,Bradley Beal,right leg injury (DTD)
05/01/2020,Blazers,,C.J. McCollum,illness (DTD)
05/01/2020,Bucks,,Pat Connaughton,bruised right thigh (DTD)
05/01/2020,Heat,,Jimmy Butler,sore lower back (DTD)
05/01/2020,Heat,Dion Waiters,,returned to lineup
05/01/2020,Thunder,,Nerlens Noel,sprained left ankle (DTD)
05/01/2020,Timberwolves,Jeff Teague,,returned to lineup
05/01/2020,Timberwolves,Noah Vonleh,,returned to lineup
05/01/2020,Warriors,,Draymond Green,sprained right ankle (DTD)
06/01/2020,Blazers,C.J. McCollum,,returned to lineup
06/01/2020,Cavaliers,,Kevin Porter Jr.,sprained left knee (out indefinitely)
06/01/2020,Pelicans,,Jrue Holiday,left elbow injury (DTD)
06/01/2020,Mavericks,Isaiah Roby,,returned to lineup
06/01/2020,Bulls,,Adam Mokoka,right eye injury (DTD)
07/01/2020,Bucks,,George Hill,illness (DTD)
07/01/2020,Bulls,,Wendell Carter Jr.,sprained right ankle (DTD)
07/01/2020,Pistons,,Blake Griffin,surgery on left knee (out indefinitely)
07/01/2020,Raptors,,Fred VanVleet,strained right hamstring (DTD)
08/01/2020,Heat,Jimmy Butler,,returned to lineup
08/01/2020,Magic,,Al-Farouq Aminu,surgery on right knee (out indefinitely)
08/01/2020,Pelicans,,Kenrich Williams,sore lower back (DTD)
09/01/2020,Clippers,,Paul George,strained left hamstring (DTD)
09/01/2020,Rockets,,Eric Gordon,sore right knee (DTD)
10/01/2020,Magic,,D.J. Augustine,bruised left knee (DTD)
11/01/2020,Blazers,,Hassan Whiteside,illness (DTD)
11/01/2020,Pelicans,,Derrick Favors,strained right hamstring (DTD)
11/01/2020,Pelicans,,J.J. Redick,strained left hamstring (DTD)
11/01/2020,Rockets,Eric Gordon,,returned to lineup
12/01/2020,Hawks,,Trae Young,left hamstring injury (DTD)
13/01/2020,Blazers,,Mario Hezonja,bruised lower back (DTD)
13/01/2020,Blazers,Hassan Whiteside,,returned to lineup
13/01/2020,Magic,D.J. Augustine,,returned to lineup
13/01/2020,Nets,,Garrett Temple,bruised right knee (DTD)
13/01/2020,Pelicans,,Brandon Ingram,sore right knee (DTD)
14/01/2020,Grizzlies,,Jae Crowder,right hip injury (DTD)
14/01/2020,Hawks,Trae Young,,returned to lineup
14/01/2020,Pacers,Naz Mitrou-Long ,,returned to lineup
14/01/2020,Thunder,,Abdel Nader,sprained left ankle (DTD)
14/01/2020,Bucks,,Frank Mason,strained oblique muscle (DTD)
15/01/2020,Hawks,,Chandler Parsons,concussion (DTD)
15/01/2020,Heat,,Tyler Herro,bruised left knee (DTD)
15/01/2020,Magic,,Evan Fournier,bruised right quadriceps (DTD)
15/01/2020,Suns,,Kelly Oubre Jr.,concussion (DTD)
16/01/2020,Magic,Evan Fournier,,returned to lineup
16/01/2020,Pelicans,,Jahlil Okafor,sore lower back (DTD)
16/01/2020,Pelicans,Brandon Ingram,,returned to lineup
16/01/2020,Pelicans,Derrick Favors,,returned to lineup
17/01/2020,Grizzlies,Jae Crowder,,returned to lineup
17/01/2020,Knicks,,R.J. Barrett,sprained right ankle (DTD)
17/01/2020,Nets,,DeAndre Jordan,finger injury (DTD)
17/01/2020,Nets,,Joe Harris,sore lower back (DTD)
17/01/2020,Rockets,,Austin Rivers,sprained right thumb (DTD)
17/01/2020,Warriors,,Draymond Green,left finger injury (DTD)
18/01/2020,Blazers,,C.J. McCollum,sprained left ankle (DTD)
18/01/2020,Pelicans,J.J. Redick,,returned to lineup
18/01/2020,Suns,,Cameron Johnson,bruised right quadriceps (DTD)
18/01/2020,Thunder,,Justin Patton,illness (DTD)
18/01/2020,Warriors,,Glenn Robinson III,sprained right ankle (DTD)
19/01/2020,Heat,Tyler Herro,,returned to lineup
19/01/2020,Nets,,Wilson Chandler,left hamstring injury (DTD)
20/01/2020,Blazers,Mario Hezonja,,returned to lineup
20/01/2020,Cavaliers,,Dean Wade,illness (DTD)
20/01/2020,Heat,,Jimmy Butler,right hip injury (DTD)
20/01/2020,Pelicans,,Derrick Favors,sore lower back (DTD)
20/01/2020,Spurs,,DeMarre Carroll,illness (DTD)
20/01/2020,Suns,,Aron Baynes,sore left hip (DTD)
20/01/2020,Thunder,,Nerlens Noel,sore left ankle (DTD)
20/01/2020,Warriors,,Draymond Green,illness (DTD)
21/01/2020,Pistons,,Tim Frazier,illness (DTD)
22/01/2020,Heat,Jimmy Butler,,returned to lineup
22/01/2020,Mavericks,,Dwight Powell,torn right Achilles tendon (out for season)
22/01/2020,Nuggets,,Michael Porter Jr.,back injury (DTD)
22/01/2020,Pelicans,Derrick Favors,,returned to lineup
22/01/2020,Pelicans,Jahlil Okafor,,returned to lineup
22/01/2020,Pistons,,Andre Drummond,mouth injury (DTD)
22/01/2020,Thunder,Nerlens Noel,,returned to lineup
22/01/2020,Warriors,Draymond Green,,returned to lineup
22/01/2020,Warriors,Glenn Robinson III,,returned to lineup
23/01/2020,76ers,,Josh Richardson,strained left hamstring (out indefinitely)
23/01/2020,Cavaliers,Dean Wade,,returned to lineup
23/01/2020,Celtics,,Enes Kanter,bruised right hip (DTD)
23/01/2020,Pacers,,Malcolm Brogdon,concussion (DTD)
23/01/2020,Raptors,,Patrick McCaw,fractured nose (DTD)
24/01/2020,Celtics,,Jayson Tatum,strained right groin (DTD)
24/01/2020,Heat,,Goran Dragic,left calf injury (DTD)
24/01/2020,Heat,,Kendrick Nunn,left Achilles injury (DTD)
24/01/2020,Nuggets,Michael Porter Jr.,,returned to lineup
25/01/2020,Grizzlies,,Grayson Allen,left hip injury (out indefinitely)
25/01/2020,Hawks,,Alex Len,right hip flexor injury (DTD)
25/01/2020,Pistons,Andre Drummond,,returned to lineup
26/01/2020,Blazers,C.J. McCollum,,returned to lineup
27/01/2020,Heat,Goran Dragic,,returned to lineup
27/01/2020,Pistons,,Derrick Rose,sore right knee (DTD)
27/01/2020,Wizards,,Jordan McRae,sprained right ankle (DTD)
28/01/2020,Grizzlies,,De'Anthony Melton,sore left hand (DTD)
28/01/2020,Pelicans,,E'Twaun Moore,neck spasms (DTD)
29/01/2020,Knicks,,Frank Ntilikina,groin injury (DTD)
29/01/2020,Pistons,Derrick Rose,,returned to lineup
30/01/2020,Bucks,,George Hill,strained left hamstring (DTD)
30/01/2020,Celtics,Jayson Tatum,,returned to lineup
30/01/2020,Clippers,,Derrick Walton Jr.,right elbow injury (DTD)
30/01/2020,Clippers,,Kawhi Leonard,tightness in lower back (DTD)
30/01/2020,Pelicans,E'Twaun Moore,,returned to lineup
31/01/2020,Bucks,,Frank Mason,strained abdominal (DTD)
31/01/2020,Rockets,,Clint Capela,right heel injury (DTD)
01/02/2020,Blazers,Carmelo Anthony,,returned to lineup
01/02/2020,Clippers,Kawhi Leonard,,returned to lineup
01/02/2020,Hawks,,De'Andre Hunter,sprained left ankle (DTD)
01/02/2020,Hornets,,P.J. Washington,sprained right ankle (DTD)
01/02/2020,Nuggets,,Michael Porter Jr.,right ankle injury (DTD)
01/02/2020,Raptors,,Norman Powell,fractured left hand (out indefinitely)
01/02/2020,Suns,,Dario Saric,sprained left ankle (DTD)
02/02/2020,Hawks,,Cam Reddish,concussion (DTD)
02/02/2020,Mavericks,,Seth Curry,left knee injury (DTD)
